日期,场景ID,场景名字,原二级场景ID,原二级场景名字,计划ID,计划名字,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台助推总成交,平台助推直接成交,平台助推点击,宝贝优惠券抵扣金额,宝贝优惠券撬动总成交,宝贝优惠券撬动直接成交,宝贝优惠券撬动点击,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-07-04,372,人群推广,372,精准人群推广,81546214002,平板_拯救者Y90011_类目种草高价值人群推广计划,1046778033099,商品,【政府补贴15%】联想AI平板 拯救者Y900 11英寸平板电脑 联想拯救者y900平板电脑AI学习游戏平板政府补贴平板,7624,306,285.97,0.04014,0.93,37.51,0.00,0,0.00,0,0.00,0,5453.41,59.90,5513.31,3,2,1,0.0098,19.28,19.28,95.32,25,15,10,0.0817,1,0,,26,11.00,26,11.00,1,285.97,0.00327,11.44,4,9596.00,1,0,7,0,0.00,2,701,293,54,0.1843,0.00654,2,0.09195,369,2,3,1,0,0.00,0,3,1,1837.77,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,70.00,3117.01,1,1
2026-07-04,371,关键词推广,371,关键词推广,81528374453,DT_一体机趋势明星关键词计划,881135208100,商品,【国家补贴15%*】联想小新一体机小新24 23.8英寸家用学习办公一体机 网课办公电脑 商务设计游戏一体机电脑,575,31,25.29,0.05391,0.82,43.98,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,4,3,1,0.12903,0,0,,4,6.32,4,6.32,0,,0,6.32,0,0.00,0,0,2,0,0.00,0,114,29,24,0.82759,0.03226,1,0.19826,81,4,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,371,关键词推广,371,关键词推广,81528374453,DT_一体机趋势明星关键词计划,759200677248,商品,【政府补贴20%】联想品牌一体机电脑小新一体机小新24/小新Pro27/AIO520家用学习办公设计电脑,284,28,122.36,0.09859,4.37,430.85,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,7,2,5,0.25,1,0,,8,15.30,8,15.30,1,122.36,0.03571,17.48,0,0.00,1,0,0,0,0.00,2,106,25,16,0.64,0,0,0.37324,77,4,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,371,关键词推广,371,关键词推广,81528374453,DT_一体机趋势明星关键词计划,604281521475,商品,【*家用办公】来酷AIO一体机电脑23.8/27英寸 自带操作系统电脑家用办公一体机电脑 超薄一体机支持壁挂,617,57,135.06,0.09238,2.37,218.90,0.00,0,0.00,0,0.00,0,3659.01,0.00,3659.01,1,1,0,0.01754,27.09,27.09,135.06,4,3,1,0.07018,1,0,,5,27.01,5,27.01,1,135.06,0.01754,33.77,2,6998.00,1,0,1,0,0.00,4,209,57,33,0.57895,0,0,0.33874,146,4,1,1,0,0.00,0,1,1,3659.01,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,371,关键词推广,371,关键词推广,81513970463,二合一140w充电宝_IP_丹,1057397966015,商品,【重磅新品】联想锋行者140W二合一充电宝器3C认证可上飞机2026新款快充移动电源适用笔记本小新拯救者y7000p,2652,162,300.00,0.06109,1.85,113.12,0.00,0,0.00,0,0.00,0,806.61,0.00,806.61,2,2,0,0.01235,2.69,2.69,150.00,9,5,4,0.05556,1,1,300.00,11,27.27,10,30.00,2,300.00,0.00617,33.33,2,998.00,1,0,6,0,0.00,3,290,137,94,0.68613,0.00617,1,0.10935,129,2,2,1,0,399.01,1,2,1,403.31,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,371,关键词推广,371,关键词推广,81500568686,平板_小新平板ProGT相似品人群推广计划,953038946045,商品,【政府补贴】联想小新平板Pro GT 11.1英寸3.2K超清屏骁龙8Gen3高性能AI平板电脑大学生平板联想小新平板电脑,3815,304,400.00,0.07969,1.32,104.85,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,30,23,7,0.09868,3,0,,33,12.12,33,12.12,3,133.33,0.00987,13.33,3,7197.00,1,2,10,0,0.00,4,730,252,142,0.56349,0.00658,2,0.19135,417,3,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,436,货品全站推广,436,货品全站推广,81485104522,平板_Y700五代88vip链接全站推广计划,1052376710622,商品,【新品】联想AI平板 拯救者Y700 五代 AI元启版8.8英寸游戏电竞平板电脑y700 5代大学生平板电脑,13099,319,98.80,0.02435,0.31,7.54,0.00,0,0.00,0,0.00,0,0.00,5069.00,5069.00,1,0,1,0.00313,51.31,51.31,98.80,2,2,0,0.00627,1,0,,3,32.93,3,32.93,1,98.80,0.00313,49.40,3,13697.00,1,0,0,0,0.00,2,545,288,155,0.53819,0,0,0.04161,209,2,0,0,0,5069.00,1,1,1,5069.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,436,货品全站推广,436,货品全站推广,81482962791,DT_YOGA全站推广计划,782393095127,商品,【爆款热卖】联想YOGA 27/YOGA 32 高能AI一体机电脑 27/31.5英寸大屏家用办公学习游戏设计ps电脑 AIPC电脑,4994,364,99.80,0.07289,0.27,19.98,0.00,0,0.00,0,0.00,0,13429.00,5441.01,18870.01,2,1,1,0.00549,189.08,189.08,49.90,13,6,7,0.03571,0,1,99.80,14,7.13,13,7.68,1,,0,7.68,3,25097.00,0,0,4,0,0.00,3,735,318,237,0.74528,0.00275,1,0.14718,367,2,2,1,0,13429.00,1,2,1,9435.01,0.00,0,8938.43,6361.11,172,0.00,0.00,0.00,0,70.00,13429.00,1,1
2026-07-04,371,关键词推广,371,关键词推广,81478872387,异能者EX05趋势明星,927968692398,商品,联想投资品牌异能者耳机蓝牙无线夹耳式电量屏显高清音质超长续航,1591,82,100.00,0.05154,1.22,62.85,0.00,0,0.00,0,0.00,0,69.90,74.35,144.25,2,1,1,0.02439,1.44,1.44,50.00,11,8,3,0.13415,0,0,,11,9.09,11,9.09,0,,0,9.09,3,697.00,0,0,4,0,0.00,2,316,69,44,0.63768,0.0122,1,0.19862,235,5,2,1,0,74.35,1,2,1,72.13,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0
2026-07-04,436,货品全站推广,436,货品全站推广,81475771189,服务鼠标m250618,1058674337732,商品,【新品】联想M25无线蓝牙鼠标4800DPI静音按键双模充电办公鼠标,2927,118,148.72,0.04031,1.26,50.81,0.00,0,0.00,0,0.00,0,488.00,126.70,614.70,14,11,3,0.11864,4.13,4.13,10.62,22,17,5,0.18644,0,1,148.72,23,6.47,22,6.76,1,,0,6.76,14,1336.90,0,0,11,0,0.00,3,238,96,54,0.5625,0.04237,5,0.08131,115,2,9,0.69231,0,340.80,9,13,1,47.28,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,8.00,131.00,1,3
